POSTCODE,TOTSENAP,TOWN,PSENSAP,CLOSEDATE,TOTPUPSENDN,AGEH,TSENA,PNUMNOFSM,ISNEW,LAESTAB,ISPOST16,NUMNOFSM,TSENSAP,NORB,LOCALITY,PNORG,NORG,SFGENDER,LAT,ICLOSE,OPENDATE,RELDENOM,NUMFSMEVER,PNUMFSM,LNG,STREET,PNUMUNCFL,ISSECONDARY,ADDRESS3,PNUMFSMEVER,ADMPOL,NUMEAL,GENDER,NUMUNCFL,LA,AGEL,PTOTSENST,SCHNAME,PNUMEAL,URN,PSENA,TOTSENST,PNORB,ISPRIMARY,NUMENGFL,ESTAB,PNUMENGFL,NEWACFLAG,NFTYPE,NUMFSM,MINORGROUP,PTOTSENAP,TELNUM
LS18 4PT,21,Leeds,5.4,,387,11,15,96.9,0,3832363,0,375,21,206,Horsforth,46.8,181,Mixed,53.8285501,1,,Does not apply,29.0,3.1,-1.6481027,Victoria Crescent,0.0,0,,7.5,Not applicable,12,Mixed,0,383,4,0.0,Horsforth Newlaithes Primary School,3.7,107860,3.9,0,53.2,1,316,2363,96.3,6,Community School,12,Maintained School,5.4,0113 2588645
LS13 4PG,21,Leeds,8.5,,272,11,8,83.8,0,3832503,0,191,23,134,,50.7,138,Mixed,53.8003921,1,,Does not apply,60.0,16.2,-1.6501024,Swinnow Road,0.0,0,,28.6,Not applicable,6,Mixed,0,383,3,SUPP,Swinnow Primary School,3.4,107979,2.9,SUPP,49.3,1,169,2503,96.6,6,Community School,37,Maintained School,7.7,0113 2146080
LS28 7ND,92,Pudsey,8.9,,1185,18,123,88.7,0,3834102,1,869,106,595,,49.8,590,Mixed,53.7993867,1,,Does not apply,244.0,11.3,-1.6622513,Mount Pleasant,0.0,1,,24.8,Comprehensive,82,Mixed,0,383,11,1.2,Pudsey Grangefield School,6.9,108079,10.4,14,50.2,0,1103,4102,93.1,6,Foundation School,111,Maintained School,7.8,0113 2296000
LS5 3QE,20,Leeds,14.4,,209,11,10,56.9,0,3832417,0,119,30,111,,46.9,98,Mixed,53.8313522,1,,Does not apply,135.0,43.1,-1.6173827,Cragside Walk,0.0,0,,64.6,Not applicable,37,Mixed,0,383,5,4.8,Hawksworth Wood Primary School,20.9,107893,4.8,10,53.1,1,140,2417,79.1,6,Community School,90,Maintained School,9.6,0113 2583984
LS28 8NZ,21,Pudsey,6.7,,314,11,13,95.9,0,3832303,0,301,21,156,,50.3,158,Mixed,53.79201,1,,Does not apply,24.0,4.1,-1.668113,Chapeltown,0.0,0,,7.6,Not applicable,SUPP,Mixed,0,383,5,0.0,Greenside Primary School,SUPP,107828,4.1,0,49.7,1,266,2303,99.3,6,Community School,13,Maintained School,6.7,0113 2574509
LS26 8EX,94,Leeds,8.9,,1109,18,156,77.5,0,3834104,1,756,99,561,Oulton,49.4,548,Mixed,53.7372406,1,,Does not apply,346.5,22.5,-1.4589379,Pennington Lane,0.0,1,,35.5,Comprehensive,18,Mixed,0,383,11,0.5,Royds School,1.6,108081,14.1,5,50.6,0,1091,4104,98.4,6,Foundation School,220,Maintained School,8.5,0113 2059559
LS27 0PD,29,Leeds,2.7,,1573,18,10,89.7,0,3834101,1,1138,43,780,Morley,50.4,793,Mixed,53.74249349999999,1,,Does not apply,281.0,10.3,-1.6075679,Fountain Street,0.0,1,,22.1,Comprehensive,20,Mixed,0,383,11,0.9,The Morley Academy,1.3,136392,0.6,14,49.6,0,1553,4101,98.7,6,Academy - Converter Mainstream,130,Academy (including Free Schools),1.8,0113 2532952
LS26 0RA,7,Leeds,4.9,,144,11,22,71.5,0,3832342,0,103,7,78,Wood Lane,45.8,66,Mixed,53.7538205,1,,Does not apply,81.0,28.5,-1.4886429,Cornwall Crescent,0.0,0,Rothwell,56.3,Not applicable,6,Mixed,0,383,7,0.0,Victoria Junior School,4.2,107851,15.3,0,54.2,1,138,2342,95.8,6,Community School,41,Maintained School,4.9,0113 3932926
LS10 4NU,32,Leeds,10.3,,320,11,61,62.5,0,3832478,0,170,33,165,,48.4,155,Mixed,53.7471168,1,,Does not apply,148.0,37.5,-1.5560743,Bodmin Garth,0.0,0,,55.0,Not applicable,10,Mixed,0,383,3,SUPP,Westwood Primary School,4.4,107954,19.1,SUPP,51.6,1,219,2478,95.6,6,Foundation School,102,Maintained School,10.0,0113 2712420
LS14 1EP,27,Leeds,11.6,,233,11,27,80.7,0,3833376,0,167,27,126,Seacroft,45.9,107,Mixed,53.825111,1,,Roman Catholic,81.0,19.3,-1.4683398,Pigeon Cote Road,0.0,0,,39.1,Not applicable,18,Mixed,0,383,3,0.0,Our Lady of Good Counsel Catholic Primary School,10.1,108030,11.6,0,54.1,1,161,3376,89.9,6,Voluntary Aided School,40,Maintained School,11.6,0113 2144123
LS8 4EX,,Leeds,,,,11,,,1,3836001,0,,,,Avenue Hill,,,Mixed,53.81767019999999,1,,,,,-1.5218759,Reconciliation Centre,,0,,,Not collected,,Mixed,,383,6,,Leeds Christian School of Excellence,,140038,,,,1,,6001,,6,Other Independent School,,Independent School,,0796 4693105
LS16 5LG,,Leeds,,,,11,,,0,3836004,0,,,,Far Headingley,,,Mixed,53.8309122,1,,Christian,,,-1.5870601,170 Otley Road,,0,,,Not collected,,Mixed,,383,2,,Richmond House School,,108103,,,,1,,6004,,6,Other Independent School,,Independent School,,0113 2752670
LS11 6RX,31,Leeds,13.8,,225,11,28,72.0,0,3833371,0,139,31,118,Beeston,47.6,107,Mixed,53.778758,1,,Roman Catholic,81.0,28.0,-1.547689,Lady Pit Lane,0.0,0,,44.3,Not applicable,112,Mixed,0,383,3,0.0,St Francis of Assisi Catholic Primary School,71.3,108025,12.4,0,52.4,1,45,3371,28.7,6,Voluntary Aided School,54,Maintained School,13.8,0113 2700978
LS16 8EX,7,Leeds,4.0,,199,11,8,89.9,0,3833902,0,179,8,87,Adel,56.3,112,Mixed,53.8528177,1,,Church of England,27.0,10.1,-1.580866,Long Causeway,0.0,0,,13.6,Not applicable,21,Mixed,0,383,4,SUPP,Adel St John the Baptist Church of England Primary School,12.4,108041,4.0,SUPP,43.7,1,148,3902,87.6,6,Voluntary Aided School,20,Maintained School,3.5,0113 2141040
LS14 6ED,48,Leeds,20.0,,285,11,50,37.2,0,3832467,0,106,57,150,,47.4,135,Mixed,53.813447,1,,Does not apply,235.0,62.8,-1.4626118,Dufton Approach,SUPP,0,,82.5,Not applicable,18,Mixed,SUPP,383,3,3.2,Parklands Primary School,7.5,107943,17.5,9,52.6,1,221,2467,92.1,6,Community School,179,Maintained School,16.8,0113 2930282
LS19 7HW,22,Leeds,11.0,,210,11,14,94.8,0,3832324,0,199,23,107,Yeadon,49.0,103,Mixed,53.8645313,1,,Does not apply,49.0,5.2,-1.6989135,New Road,SUPP,0,,23.3,Not applicable,10,Mixed,SUPP,383,7,SUPP,Yeadon Westfield Junior School,4.8,107840,6.7,SUPP,51.0,1,199,2324,94.8,6,Foundation School,11,Maintained School,10.5,0113 2503395
LS17 5ES,7,Leeds,3.8,,208,11,9,90.4,0,3833378,0,188,8,105,Alwoodley,49.5,103,Mixed,53.851745,1,,Roman Catholic,37.0,9.6,-1.5590737,Buckstone Crescent,0.0,0,,17.8,Not applicable,21,Mixed,0,383,5,SUPP,St Paul's Catholic Primary School,11.8,108032,4.3,SUPP,50.5,1,157,3378,88.2,6,Voluntary Aided School,20,Maintained School,3.4,0113 2939901
LS22 6JS,8,Wetherby,9.9,,81,11,5,79.5,0,3833045,0,58,8,40,,50.6,41,Mixed,53.9310012,1,,Church of England,28.0,20.5,-1.3788954,Hallfield Lane,0.0,0,,38.4,Not applicable,9,Mixed,0,383,3,0.0,St James' Church of England Voluntary Controlled Primary School,15.3,107995,6.2,0,49.4,1,50,3045,84.7,6,Voluntary Controlled School,15,Maintained School,9.9,01937 583379
LS12 1SF,58,Leeds,10.6,,555,11,66,61.3,0,3833056,0,291,59,293,Tong Road,47.2,262,Mixed,53.7938132,1,,Church of England,256.0,38.7,-1.5864514,Strawberry Lane,SUPP,0,Armley,53.9,Not applicable,220,Mixed,SUPP,383,3,SUPP,St Bartholomew's CofE Voluntary Controlled Primary School,56.6,108005,11.9,SUPP,52.8,1,167,3056,42.9,6,Voluntary Controlled School,184,Maintained School,10.5,0113 2639292
LS16 5QR,,Leeds,,,,11,,,1,3833315,0,,,,,,,Mixed,53.8328239,1,01/11/2014,Church of England,,,-1.5976842,Northolme Avenue,,0,,,Not applicable,,Mixed,,383,3,,St Chad's Church of England Primary School,,141521,,,,1,,3315,,1,Academy - Converter Mainstream,,Academy (including Free Schools),,0113 2144519
LS28 5SG,51,Pudsey,6.4,,1081,18,121,80.8,0,3834110,1,718,69,590,Farsley,45.4,491,Mixed,53.8099538,1,,Does not apply,272.0,19.2,-1.6878777,Priesthorpe Lane,0.0,1,,30.5,Comprehensive,350,Mixed,0,383,11,1.7,Priesthorpe School,32.4,108087,11.2,18,54.6,0,731,4110,67.6,6,Foundation School,171,Maintained School,4.7,0113 2574115
LS17 7AG,66,Leeds,7.9,,1150,18,86,87.9,0,3834032,1,822,91,580,,49.6,570,Mixed,53.850002,1,,Does not apply,233.0,12.1,-1.55316,King Lane,0.0,1,,24.9,Comprehensive,221,Mixed,0,383,11,2.2,Allerton High School,19.2,108057,7.5,25,50.4,0,929,4032,80.8,6,Community School,113,Maintained School,5.7,0113 2034770
LS14 2EG,34,Leeds,15.5,,233,11,29,81.4,0,3832469,0,171,36,115,,50.6,118,Mixed,53.8375917,1,,Does not apply,69.0,18.6,-1.4569476,Naburn Approach,0.0,0,,34.7,Not applicable,8,Mixed,0,383,3,SUPP,Fieldhead Carr Primary School,4.7,107945,12.4,SUPP,49.4,1,161,2469,95.3,6,Community School,39,Maintained School,14.6,0113 2930226
LS11 7JS,6,Leeds,3.4,,205,11,7,88.8,0,3833367,0,182,7,108,Beeston,47.3,97,Mixed,53.7715059,1,,Roman Catholic,52.0,11.2,-1.5638968,Barkly Road,SUPP,0,,25.4,Not applicable,35,Mixed,SUPP,383,4,SUPP,St Anthony's Catholic Primary School,20.0,108021,3.4,SUPP,52.7,1,138,3367,78.9,6,Voluntary Aided School,23,Maintained School,2.9,0113 2776944
LS13 4JJ,27,Leeds,6.5,,417,11,46,71.8,0,3832499,0,254,27,212,,49.2,205,Mixed,53.79925000000001,1,,Does not apply,151.0,28.2,-1.62276,Gamble Hill Drive,0.0,0,,42.7,Not applicable,13,Mixed,0,383,3,0.0,Greenhill Primary School,4.4,107975,11.0,0,50.8,1,282,2499,95.6,6,Community School,100,Maintained School,6.5,0113 2635271
LS8 3QY,19,Leeds,4.4,,517,11,47,65.6,0,3832450,0,292,23,258,,50.1,259,Mixed,53.8161141,1,,Does not apply,208.0,34.4,-1.5092839,Hovingham Avenue,0.0,0,,47.0,Not applicable,345,Mixed,0,383,3,0.8,Hovingham Primary School,95.8,107926,9.1,4,49.9,1,15,2450,4.2,6,Community School,153,Maintained School,3.7,0113 2489537
LS20 9BT,6,Leeds,2.0,,305,11,21,90.8,0,3833350,0,277,6,146,Guiseley,52.1,159,Mixed,53.8722807,1,,Church of England,57.0,9.2,-1.7069601,The Green,0.0,0,,18.7,Not applicable,4,Mixed,0,383,7,0.0,St Oswald's Church of England Junior School,1.3,108008,6.9,0,47.9,1,301,3350,98.7,6,Voluntary Aided School,28,Maintained School,2.0,01943 873570
LS16 5EA,22,Leeds,2.4,,1315,18,110,87.6,0,3835400,1,936,32,605,,54.0,710,Mixed,53.8344184,1,,Church of England,259.0,12.4,-1.6113858,Butcher Hill,2.1,1,,24.2,Comprehensive,175,Mixed,27,383,11,0.8,Abbey Grange Church of England Academy,13.3,137083,8.4,10,46.0,0,1113,5400,84.6,6,Academy - Converter Mainstream,132,Academy (including Free Schools),1.7,0113 2757877
LS17 9LH,3,Leeds,2.9,,105,11,6,97.1,0,3833037,0,102,3,61,Harewood,41.9,44,Mixed,53.9013968,1,,Church of England,11.0,2.9,-1.5116372,Harrogate Road,0.0,0,,10.5,Not applicable,6,Mixed,0,383,5,0.0,Harewood Church of England Voluntary Controlled Primary School,6.7,107989,5.7,0,58.1,1,84,3037,93.3,6,Voluntary Controlled School,3,Maintained School,2.9,0113 2886394
LS15 0EU,19,Leeds,5.7,,368,11,8,85.1,0,3832466,0,313,21,182,Whitkirk,50.5,186,Mixed,53.79341909999999,1,,,88.0,14.9,-1.4553903,Templegate Walk,0.0,0,,23.9,Not applicable,SUPP,Mixed,0,383,4,SUPP,Whitkirk Primary School,SUPP,107942,2.2,SUPP,49.5,1,308,2466,99.7,6,Foundation School,55,Maintained School,5.2,0113 2606203
LS15 8SD,5,Leeds,3.1,,196,11,3,75.0,0,3832464,0,147,6,104,,46.9,92,Mixed,53.8136488,1,,Does not apply,64.0,25.0,-1.4457508,Dennil Road,0.0,0,,32.7,Not applicable,4,Mixed,0,383,5,SUPP,Manston Primary School,2.4,107940,1.5,SUPP,53.1,1,162,2464,97.6,6,Community School,49,Maintained School,2.6,0113 2645445
LS13 2JJ,67,Leeds,16.2,,445,11,58,43.5,0,3833922,0,161,72,215,Bramley,51.7,230,Mixed,53.8138301,1,,Does not apply,272.0,56.5,-1.6168153,Broad Lane,0.0,0,,73.7,Not applicable,42,Mixed,0,383,2,1.1,Hollybush Primary,13.5,134513,13.0,5,48.3,1,269,3922,86.5,6,Community School,209,Maintained School,15.1,0113 3862470
LS16 6NF,15,Leeds,8.7,,208,11,10,91.8,0,3833380,0,191,18,112,,46.2,96,Mixed,53.8471625,1,,Roman Catholic,36.0,8.2,-1.6044992,Otley Old Road,0.0,0,,17.3,Not applicable,10,Mixed,0,383,4,1.4,Holy Name Catholic Primary School,5.6,108034,4.8,3,53.8,1,168,3380,94.4,6,Voluntary Aided School,17,Maintained School,7.2,0113 2936444
LS13 3NE,26,Leeds,9.6,,291,11,23,64.6,0,3833054,0,188,28,139,,52.2,152,Mixed,53.8112057,1,,Church of England,140.0,35.4,-1.630762,Hough Lane,0.0,0,,48.1,Not applicable,18,Mixed,0,383,5,SUPP,Bramley St Peter's Church of England Primary School,7.8,108003,7.9,SUPP,47.8,1,213,3054,92.2,6,Voluntary Aided School,103,Maintained School,8.9,0113 2559680
LS18 5AB,16,Leeds,7.5,,212,11,16,98.1,1,3833359,0,208,16,107,Horsforth,49.5,105,Mixed,53.8391862,1,,Roman Catholic,11.0,1.9,-1.6310936,Broadgate Lane,0.0,0,,5.2,Not applicable,13,Mixed,0,383,5,0.0,St Mary's Catholic Primary School,7.1,139352,7.5,0,50.5,1,169,3359,92.9,6,Academy - Converter Mainstream,4,Academy (including Free Schools),7.5,0113 2584593
LS6 1AD,9,Leeds,5.3,,207,11,5,81.2,0,3832414,0,168,11,100,,51.7,107,Mixed,53.81705660000001,1,,Does not apply,59.0,18.8,-1.5756692,Spring Road,0.0,0,,28.5,Not applicable,24,Mixed,0,383,4,SUPP,Spring Bank Primary School,13.6,107890,2.4,SUPP,48.3,1,153,2414,86.4,6,Community School,39,Maintained School,4.3,0113 2043120
LS17 8DJ,17,Leeds,5.6,,392,11,3,95.7,0,3832438,0,375,22,202,,48.5,190,Mixed,53.8514883,1,,Does not apply,30.0,4.3,-1.5267842,Sandringham Green,0.0,0,,7.7,Not applicable,29,Mixed,0,383,4,1.3,Highfield Primary School,8.8,107914,0.8,5,51.5,1,302,2438,91.2,6,Community School,17,Maintained School,4.3,0113 2930155
LS26 9HT,19,Leeds,4.0,,502,11,30,91.0,0,3833916,0,386,20,278,Methley,44.6,224,Mixed,53.73831449999999,1,,Does not apply,59.0,9.0,-1.3955565,Savile Road,0.0,0,,13.9,Not applicable,SUPP,Mixed,0,383,3,SUPP,Methley Primary School,SUPP,134319,6.0,SUPP,55.4,1,360,3916,99.4,6,Community School,38,Maintained School,3.8,0113 3862540
LS23 6DL,4,Wetherby,2.7,,150,11,14,98.0,0,3833358,0,147,4,79,Boston Spa,47.3,71,Mixed,53.9044002,1,,Roman Catholic,4.0,2.0,-1.3522257,Westwood Way,0.0,0,,2.7,Not applicable,4,Mixed,0,383,4,0.0,St Edward's Catholic Primary School,3.1,108012,9.3,0,52.7,1,125,3358,96.9,6,Voluntary Aided School,3,Maintained School,2.7,01937 843946
LS12 5LA,26,Leeds,11.8,,229,11,30,56.3,0,3832487,0,108,27,128,,44.1,101,Mixed,53.7827949,1,,Does not apply,111.0,43.8,-1.6106416,Cobden Road,SUPP,0,,57.8,Not applicable,SUPP,Mixed,SUPP,383,3,SUPP,Cobden Primary School,SUPP,107963,13.1,SUPP,55.9,1,161,2487,98.2,6,Community School,84,Maintained School,11.4,0113 2798079
LS28 6PE,23,Pudsey,10.0,,260,11,12,80.6,0,3832490,0,174,26,128,Stanningley,50.8,132,Mixed,53.8096833,1,,Does not apply,77.0,19.4,-1.6524247,Leeds and Bradford Road,0.0,0,,36.8,Not applicable,8,Mixed,0,383,3,1.2,Stanningley Primary School,4.5,107966,4.6,3,49.2,1,171,2490,95.5,6,Community School,42,Maintained School,8.8,0113 2557677
LS26 8RD,17,Leeds,3.8,,475,11,64,92.4,0,3832314,0,391,18,213,Woodlesford,55.2,262,Mixed,53.7569327,1,,Does not apply,57.0,7.6,-1.4478846,Church Street,0.0,0,,13.5,Not applicable,SUPP,Mixed,0,383,3,SUPP,Woodlesford Primary School,SUPP,107834,13.5,SUPP,44.8,1,361,2314,99.4,6,Community School,32,Maintained School,3.6,0113 2146306
LS17 9DG,9,Leeds,5.1,,176,11,4,98.3,0,3832385,0,173,9,87,Bardsey,50.6,89,Mixed,53.8863612,1,,Does not apply,9.0,1.7,-1.4484359,Woodacre Lane,0.0,0,,5.1,Not applicable,4,Mixed,0,383,5,0.0,Bardsey Primary School,2.7,107868,2.3,0,49.4,1,143,2385,97.3,6,Foundation School,3,Maintained School,5.1,01937 572612
LS11 6BA,48,Leeds,10.5,,455,11,41,70.4,0,3832473,0,267,48,249,,45.3,206,Mixed,53.777237,1,,Does not apply,158.0,29.6,-1.5530321,Lodge Lane,0.0,0,,41.8,Not applicable,254,Mixed,0,383,3,0.0,Greenmount Primary School,79.9,107949,9.0,0,54.7,1,64,2473,20.1,6,Community School,112,Maintained School,10.5,0113 2760771
LS17 8JF,21,Leeds,11.1,,208,11,SUPP,98.1,0,3832441,0,204,23,110,,47.1,98,Mixed,53.8515551,1,,Does not apply,10.0,1.9,-1.4746544,Main Street,0.0,0,,4.8,Not applicable,10,Mixed,0,383,5,SUPP,Shadwell Primary School,5.6,107917,SUPP,SUPP,52.9,1,168,2441,94.4,6,Community School,4,Maintained School,10.1,0113 2144127
LS17 8GS,,Leeds,,,,19,,,0,3836112,1,,,,Harrogate Road,,,Mixed,53.8650546,1,,Church of England/Christian,,,-1.5199573,Alwoodley Gates,,1,,,Not collected,,Mixed,,383,3,,The Grammar School At Leeds,,108113,,,,1,,6112,,6,Other Independent School,,Independent School,,0113 2291552
LS16 6LW,13,Leeds,8.6,,210,11,11,67.2,0,3832410,0,119,18,107,Tinshill,49.0,103,Mixed,53.8433879,1,,Does not apply,90.0,32.8,-1.6051148,Iveson Rise,0.0,0,,50.8,Not applicable,73,Mixed,0,383,3,2.4,Iveson Primary School,47.4,107886,5.2,5,51.0,1,81,2410,52.6,6,Foundation School,58,Maintained School,6.2,0113 2256868
LS7 2DR,38,Leeds,10.7,,363,11,65,55.4,0,3833930,0,201,39,178,,51.0,185,Mixed,53.8236175,1,,Does not apply,211.0,44.6,-1.5495595,Potternewton Mount,SUPP,0,,63.7,Not applicable,96,Mixed,SUPP,383,3,SUPP,Mill Field Primary School,34.9,135162,17.9,SUPP,49.0,1,178,3930,64.7,6,Community School,162,Maintained School,10.5,0113 2620021
LS11 8AB,49,Leeds,9.1,,570,11,38,67.5,0,3832483,0,337,52,309,Beeston,45.8,261,Mixed,53.7712452,1,,Does not apply,250.0,32.5,-1.5686032,St Anthony's Drive,SUPP,0,,50.1,Not applicable,167,Mixed,SUPP,383,3,0.5,Hugh Gaitskell Primary School,39.6,107959,6.7,3,54.2,1,253,2483,60.0,6,Foundation School,162,Maintained School,8.6,0113 2716963
LS9 7SG,29,Leeds,11.1,,262,11,26,63.8,0,3833911,0,134,29,123,,53.1,139,Mixed,53.8015862,1,,Church of England,115.0,36.2,-1.5275855,Cromwell Street,0.0,0,,54.8,Not applicable,102,Mixed,0,383,3,0.0,St Peter's Church of England Primary School,56.7,108050,9.9,0,46.9,1,78,3911,43.3,6,Voluntary Aided School,76,Maintained School,11.1,0113 2934411
LS16 5QR,21,Leeds,9.8,31/10/2014,256,11,14,89.4,0,3833315,0,186,25,124,,51.6,132,Mixed,53.8328239,2,,Church of England,33.0,10.6,-1.5976842,Northolme Avenue,0.0,0,,15.9,Not applicable,25,Mixed,0,383,3,1.6,St Chad's Church of England Primary School,14.0,108006,5.5,4,48.4,1,153,3315,86.0,2,Voluntary Aided School,22,Maintained School,8.2,0113 2144519
LS5 3JD,20,Leeds,10.8,,203,11,23,73.9,0,3833904,0,150,22,85,,58.1,118,Mixed,53.8190822,1,,Church of England,92.0,26.1,-1.6008151,Morris Lane,0.0,0,,45.3,Not applicable,19,Mixed,0,383,4,SUPP,Kirkstall St Stephen's Church of England Primary School,11.0,108043,11.3,SUPP,41.9,1,153,3904,89.0,6,Voluntary Aided School,53,Maintained School,9.9,0113 3821960
,2252,,6.2,,44419,,4584,81.2,,,,30637,2739,22616,,49.1,21803,,,,,,12748.5,18.8,,,0.1,,,34,,5748,,66,SEC,,1.1,,13.0,LA,10.3,487,50.9,,38516,,86.9,,,7094,,5.1,
LS26 0DJ,39,Leeds,11.1,,360,11,16,86.8,0,3832506,0,269,40,186,Rothwell,48.3,174,Mixed,53.74562599999999,1,,Does not apply,70.0,13.2,-1.481784,Carlton Lane,0.0,0,,22.6,Not applicable,10,Mixed,0,383,3,SUPP,Rothwell Primary School,3.8,107982,4.4,SUPP,51.7,1,255,2506,96.2,6,Community School,41,Maintained School,10.8,0113 3862570
LS19 6LX,25,Leeds,2.3,,1368,18,65,92.6,0,3834106,1,1049,32,710,Rawdon,48.1,658,Mixed,53.8572682,1,,Does not apply,206.0,7.4,-1.6839455,Harrogate Road,0.0,1,,18.2,Comprehensive,43,Mixed,0,383,11,0.5,Benton Park School,3.1,108083,4.8,7,51.9,0,1325,4106,96.9,6,Community School,84,Maintained School,1.8,0113 2502330
LS18 5AH,7,Leeds,4.8,,208,11,13,97.6,0,3832364,0,203,10,109,Horsforth,47.6,99,Mixed,53.8470569,1,,Does not apply,12.0,2.4,-1.6415056,Westbrook Lane,0.0,0,,5.8,Not applicable,0,Mixed,0,383,4,1.4,Westbrook Lane Primary School,0.0,107861,6.3,3,52.4,1,179,2364,100.0,6,Community School,5,Maintained School,3.4,0113 2587913
LS21 3JS,9,Otley,4.3,,258,11,6,92.5,0,3832403,0,196,11,132,,48.8,126,Mixed,53.90300689999999,1,,Does not apply,29.0,7.5,-1.703057,Scarborough Road,0.0,0,,13.8,Not applicable,SUPP,Mixed,0,383,3,SUPP,Westgate Primary School,SUPP,107879,2.3,SUPP,51.2,1,178,2403,98.9,6,Community School,16,Maintained School,3.5,01943 462349
LS7 4AW,38,Leeds,15.8,,240,11,45,65.2,0,3833383,0,135,38,123,Chapeltown,48.8,117,Mixed,53.8119325,1,,Roman Catholic,93.0,34.8,-1.5331305,Leopold Street,0.0,0,,45.1,Not applicable,98,Mixed,0,383,3,0.0,Holy Rosary and St Anne's Catholic Primary School,55.7,108037,18.8,0,51.3,1,78,3383,44.3,6,Voluntary Aided School,72,Maintained School,15.8,0113 3368433
LS23 6RW,31,Wetherby,3.5,,1128,18,42,90.4,0,3834114,1,806,40,609,Boston Spa,46.0,519,Mixed,53.8997334,1,,,227.0,9.6,-1.3618989,Clifford Moor Road,0.0,1,,25.3,Comprehensive,43,Mixed,0,383,11,0.8,Boston Spa School,3.8,108091,3.7,9,54.0,0,1085,4114,96.2,6,Foundation School,86,Maintained School,2.7,01937 846636
LS8 3LZ,48,Leeds,10.4,,471,11,85,52.5,1,3832010,0,221,49,235,,50.1,236,Mixed,53.813232,1,,Does not apply,270.0,47.5,-1.49783,North Farm Road,0.0,0,,64.4,Not applicable,130,Mixed,0,383,3,SUPP,Oakwood Primary Academy,36.3,139077,18.0,SUPP,49.9,1,228,2010,63.7,6,Academy Sponsor Led,200,Academy (including Free Schools),10.2,0113 2402526
LS14 5BY,14,Leeds,10.7,,244,11,24,57.2,0,3832448,0,119,26,141,,42.2,103,Mixed,53.8249191,1,,Does not apply,132.0,42.8,-1.4465559,Stanks Drive,0.0,0,,63.5,Not applicable,6,Mixed,0,383,3,4.9,Grimes Dyke Primary School,3.4,107924,9.8,12,57.8,1,170,2448,96.6,6,Community School,89,Maintained School,5.7,0113 2941066
LS22 7XL,15,Wetherby,8.5,,213,11,10,96.7,0,3832400,0,206,18,117,,45.1,96,Mixed,53.9405443,1,,Does not apply,18.0,3.3,-1.3896378,Deighton Road,0.0,0,,8.5,Not applicable,13,Mixed,0,383,4,1.4,Deighton Gates Primary School,7.1,107876,4.7,3,54.9,1,170,2400,92.9,6,Foundation School,7,Maintained School,7.0,01937 584359
LS11 0HU,18,Leeds,7.2,,291,11,6,48.3,1,3832006,0,116,21,152,Cottingley,47.8,139,Mixed,53.7686389,1,,Does not apply,165.0,51.7,-1.5842106,Dulverton Grove,SUPP,0,,68.8,Not applicable,26,Mixed,SUPP,383,3,1.0,Cottingley Primary Academy,12.7,138973,2.1,3,52.2,1,177,2006,86.3,6,Academy Sponsor Led,124,Academy (including Free Schools),6.2,0113 3368750
LS15 8JH,32,Leeds,8.1,,419,11,10,90.5,1,3833910,0,379,34,214,Crossgates,48.9,205,Mixed,53.8117819,1,,Church of England,76.0,9.5,-1.4443984,Sandbed Lane,SUPP,0,,18.1,Not applicable,10,Mixed,SUPP,383,4,SUPP,Manston St James Primary Academy,2.8,138824,2.4,SUPP,51.1,1,348,3910,96.9,6,Academy - Converter Mainstream,40,Academy (including Free Schools),7.6,0113 2739180
LS25 3BU,8,Leeds,9.0,,100,11,SUPP,88.0,0,3833030,0,88,9,49,Aberford,51.0,51,Mixed,53.8279513,1,,Church of England,18.0,12.0,-1.3446105,School Lane,0.0,0,,18.0,Not applicable,SUPP,Mixed,0,383,4,SUPP,Aberford Church of England Voluntary Controlled Primary School,SUPP,107985,SUPP,SUPP,49.0,1,89,3030,98.9,6,Voluntary Controlled School,12,Maintained School,8.0,0113 2813302
LS23 6DW,,Leeds,,03/11/2014,,18,,,0,3836122,1,,,,,,,Mixed,53.9036951,2,,Christian,,,-1.3498794,27 Church Street,,1,Boston Spa,,Not collected,,Mixed,,383,7,,Focus School - Boston Spa Campus,,134432,,,,1,,6122,,5,Other Independent School,,Independent School,,01937 849636
LS2 9BL,,Leeds,,,,99,,,0,3838600,1,,,,,,,Mixed,53.8106068,1,,Roman Catholic,,,-1.5526061,St Mark's Avenue,,0,,,Not applicable,,Mixed,,383,16,,Notre Dame Catholic Sixth Form College,,130548,,,,0,,8600,,6,Further Education Sector Institution,,College,,0113 2946644
,5,,100.0,,SUPP,,0,SUPP,,,,SUPP,5,SUPP,,SUPP,SUPP,,,,,,4.0,60.0,,,0.0,,,80.0,,0,,0,383,,0.0,,0.0,132259,0.0,0,SUPP,,5,1109,100.0,,,3,,100.0,
LS14 3JD,3,Leeds,2.7,,187,11,6,93.6,0,3833044,0,175,5,102,Thorner,45.5,85,Mixed,53.8592622,1,,Church of England,22.0,6.4,-1.420842,Kirkhills,0.0,0,,11.8,Not applicable,SUPP,Mixed,0,383,4,SUPP,Thorner Church of England Voluntary Controlled Primary School,SUPP,107994,3.2,SUPP,54.5,1,156,3044,99.4,6,Voluntary Controlled School,12,Maintained School,1.6,0113 2892541
